user_being_followed_id,user_following_id
96,237
267,179
269,275
212,115
154,46
79,68
195,237
154,265
73,105
83,233
240,38
93,197
267,22
226,193
149,271
238,211
216,271
102,28
295,137
198,108
153,208
281,290
128,156
38,247
196,203
35,90
133,119
174,236
173,179
205,152
25,218
61,129
222,129
25,131
199,37
107,120
249,269
195,221
191,244
43,249
282,151
297,21
28,2
230,97
210,40
174,194
268,247
228,41
108,72
87,4
161,165
156,71
272,104
296,164
112,80
5,1
291,157
105,81
150,60
52,130
111,257
168,216
220,22
85,187
241,105
247,118
21,245
163,204
210,275
251,226
272,120
75,85
279,30
162,283
128,263
189,173
218,174
95,172
6,115
89,42
168,4
215,300
177,299
37,155
102,9
135,50
196,195
182,140
295,109
106,266
156,259
151,217
67,45
63,99
1,134
175,166
270,213
9,275
143,257
8,115
275,235
293,99
85,150
97,114
84,153
249,138
84,231
118,251
34,258
207,165
73,230
4,129
43,11
83,85
201,63
135,256
66,156
58,217
33,113
138,63
121,203
204,68
95,119
41,288
142,32
20,143
218,4
65,105
286,285
212,55
50,289
154,269
253,32
50,267
8,220
210,112
88,156
27,132
175,133
126,201
39,84
219,190
292,178
218,272
65,233
299,190
39,188
272,38
45,278
43,292
60,180
279,253
23,231
238,128
85,107
58,249
12,115
105,182
288,284
32,133
222,97
281,134
154,196
79,122
92,217
111,148
151,228
237,95
178,55
206,214
35,124
221,220
245,185
56,269
208,126
291,75
151,185
71,225
255,38
11,245
22,104
255,40
269,296
245,173
180,67
294,36
281,199
227,208
95,205
237,210
270,212
178,24
208,197
133,59
266,185
201,131
228,85
159,178
272,117
292,85
154,41
176,82
18,172
90,100
148,289
269,159
289,110
173,180
193,174
232,184
95,11
261,220
49,22
71,137
56,79
152,22
127,270
70,101
174,246
182,213
159,59
243,277
15,84
119,194
104,195
207,66
94,159
148,166
229,262
253,109
164,11
219,28
239,75
262,263
87,177
65,72
78,214
232,64
166,9
65,138
226,283
171,98
104,127
8,129
295,290
273,144
258,250
150,247
84,37
15,241
279,194
218,17
42,224
213,240
111,151
256,169
140,28
33,243
95,117
101,195
256,37
157,189
198,145
206,49
54,4
148,94
79,132
102,196
217,191
126,283
28,71
199,223
133,233
247,291
212,287
84,211
276,157
278,2
48,83
118,10
141,169
121,300
110,56
271,200
65,299
270,75
241,70
155,151
210,94
212,247
154,101
280,12
273,36
102,152
250,46
181,142
151,195
276,94
31,276
110,163
10,45
224,299
231,38
279,86
13,121
203,119
258,228
281,88
106,52
207,31
157,234
36,172
224,188
273,291
277,246
193,272
132,271
177,7
103,166
215,26
39,236
190,57
52,216
63,24
25,115
95,241
251,289
19,52
210,147
280,243
135,56
192,219
90,245
29,256
278,116
182,224
215,1
97,84
58,254
16,190
67,281
9,203
79,62
206,175
288,3
120,244
260,56
77,10
171,92
94,187
6,207
8,51
13,169
112,35
176,58
30,158
136,48
248,51
5,195
224,119
1,61
298,69
96,120
69,30
85,246
136,109
170,168
151,131
105,78
50,279
56,51
141,86
165,30
21,2
132,72
180,42
87,241
185,283
129,154
230,71
134,118
214,88
300,2
274,238
216,244
188,183
19,296
281,85
254,268
126,200
12,240
57,283
42,251
285,72
94,198
20,271
79,163
294,280
104,36
207,257
106,107
91,219
81,152
65,211
115,28
272,6
95,66
221,27
50,202
27,151
130,150
94,70
58,251
137,252
157,131
35,158
211,91
129,139
237,62
52,203
3,71
144,8
282,191
161,33
183,254
234,238
103,61
268,78
101,71
255,17
292,272
177,36
37,297
171,299
65,118
37,191
185,113
185,93
163,267
240,35
297,124
257,74
42,255
135,53
247,89
253,244
60,230
101,186
245,214
80,230
68,13
171,196
129,234
264,113
236,164
124,262
157,111
109,15
71,130
119,277
273,197
196,189
295,53
28,84
249,191
266,169
280,148
283,190
147,280
86,256
204,228
199,229
7,74
246,217
134,58
198,83
290,205
244,223
169,99
103,39
12,66
300,270
173,170
24,25
189,257
103,203
209,85
284,72
33,47
89,21
189,225
132,159
117,292
6,53
236,41
258,188
293,253
142,42
299,298
105,47
7,121
278,177
27,91
181,34
174,274
74,139
152,236
239,140
246,62
283,188
36,178
235,155
180,247
49,149
62,278
113,297
165,265
132,274
91,247
116,188
86,162
101,15
171,165
46,41
175,217
194,207
250,96
204,187
47,117
29,102
50,201
196,288
178,246
24,79
55,264
186,116
266,36
266,5
26,125
87,21
255,1
27,83
100,264
66,296
34,197
53,294
204,91
285,174
118,261
89,245
123,259
181,244
231,179
61,39
150,290
9,75
226,297
47,237
44,87
72,289
7,150
10,240
163,159
42,263
22,240
47,118
241,132
82,107
63,21
9,56
113,106
201,142
238,76
244,6
234,127
275,3
